epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-27,473,SC,Florianópolis,4205407,city,76877,15108.70121,0,1008,0,0.0131,508826,False,True
202125,2021-06-26,472,SC,Florianópolis,4205407,city,76877,15108.70121,0,1008,0,0.0131,508826,False,True
202125,2021-06-25,471,SC,Florianópolis,4205407,city,76877,15108.70121,84,1008,1,0.0131,508826,True,False
202125,2021-06-24,470,SC,Florianópolis,4205407,city,76793,15092.19262,82,1007,1,0.0131,508826,False,False
202125,2021-06-23,469,SC,Florianópolis,4205407,city,76711,15076.07709,38,1006,1,0.0131,508826,False,False
202125,2021-06-22,468,SC,Florianópolis,4205407,city,76673,15068.60892,52,1005,4,0.0131,508826,False,False
202125,2021-06-21,467,SC,Florianópolis,4205407,city,76621,15058.38931,55,1001,2,0.0131,508826,False,False
202125,2021-06-20,466,SC,Florianópolis,4205407,city,76566,15047.58012,22,999,0,0.013,508826,False,False
202124,2021-06-19,465,SC,Florianópolis,4205407,city,76544,15043.25644,69,999,0,0.0131,508826,False,False
202124,2021-06-18,464,SC,Florianópolis,4205407,city,76475,15029.69581,119,999,0,0.0131,508826,False,False
202124,2021-06-17,463,SC,Florianópolis,4205407,city,76356,15006.30864,89,999,1,0.0131,508826,False,False
202124,2021-06-16,462,SC,Florianópolis,4205407,city,76267,14988.8174,77,998,1,0.0131,508826,False,False
202124,2021-06-15,461,SC,Florianópolis,4205407,city,76190,14973.68452,117,997,2,0.0131,508826,False,False
202124,2021-06-14,460,SC,Florianópolis,4205407,city,76073,14950.69041,75,995,0,0.0131,508826,False,False
202124,2021-06-13,459,SC,Florianópolis,4205407,city,75998,14935.9506,8,995,1,0.0131,508826,False,False
202123,2021-06-12,458,SC,Florianópolis,4205407,city,75990,14934.37835,1,994,1,0.0131,508826,False,False
202123,2021-06-11,457,SC,Florianópolis,4205407,city,75989,14934.18182,71,993,0,0.0131,508826,False,False
202123,2021-06-10,456,SC,Florianópolis,4205407,city,75918,14920.22813,68,993,-1,0.0131,508826,False,False
202123,2021-06-09,455,SC,Florianópolis,4205407,city,75850,14906.86404,145,994,4,0.0131,508826,False,False
202123,2021-06-08,454,SC,Florianópolis,4205407,city,75705,14878.36706,74,990,3,0.0131,508826,False,False
202123,2021-06-07,453,SC,Florianópolis,4205407,city,75631,14863.82378,131,987,2,0.0131,508826,False,False
202123,2021-06-06,452,SC,Florianópolis,4205407,city,75500,14838.07824,48,985,0,0.013,508826,False,False
202122,2021-06-05,451,SC,Florianópolis,4205407,city,75452,14828.64476,55,985,0,0.0131,508826,False,False
202122,2021-06-04,450,SC,Florianópolis,4205407,city,75397,14817.83557,88,985,1,0.0131,508826,False,False
202122,2021-06-03,449,SC,Florianópolis,4205407,city,75309,14800.54085,44,984,5,0.0131,508826,False,False
202122,2021-06-02,448,SC,Florianópolis,4205407,city,75265,14791.8935,-18,979,0,0.013,508826,False,False
202122,2021-06-01,447,SC,Florianópolis,4205407,city,75283,14795.43105,120,979,3,0.013,508826,False,False
202122,2021-05-31,446,SC,Florianópolis,4205407,city,75163,14771.84735,92,976,0,0.013,508826,False,False
202122,2021-05-30,445,SC,Florianópolis,4205407,city,75071,14753.76651,43,976,0,0.013,508826,False,False
202121,2021-05-29,444,SC,Florianópolis,4205407,city,75028,14745.31569,97,976,3,0.013,508826,False,False
202121,2021-05-28,443,SC,Florianópolis,4205407,city,74931,14726.2522,156,973,-9,0.013,508826,False,False
202121,2021-05-27,442,SC,Florianópolis,4205407,city,74775,14695.59339,65,982,1,0.0131,508826,False,False
202121,2021-05-26,441,SC,Florianópolis,4205407,city,74710,14682.81888,38,981,1,0.0131,508826,False,False
202121,2021-05-25,440,SC,Florianópolis,4205407,city,74672,14675.35071,132,980,1,0.0131,508826,False,False
202121,2021-05-24,439,SC,Florianópolis,4205407,city,74540,14649.40864,15,979,3,0.0131,508826,False,False
202121,2021-05-23,438,SC,Florianópolis,4205407,city,74525,14646.46068,67,976,1,0.0131,508826,False,False
202120,2021-05-22,437,SC,Florianópolis,4205407,city,74458,14633.29311,118,975,-1,0.0131,508826,False,False
202120,2021-05-21,436,SC,Florianópolis,4205407,city,74340,14610.10247,111,976,7,0.0131,508826,False,False
202120,2021-05-20,435,SC,Florianópolis,4205407,city,74229,14588.28755,121,969,1,0.0131,508826,False,False
202120,2021-05-19,434,SC,Florianópolis,4205407,city,74108,14564.50732,19,968,1,0.0131,508826,False,False
202120,2021-05-18,433,SC,Florianópolis,4205407,city,74089,14560.77323,53,967,7,0.0131,508826,False,False
202120,2021-05-17,432,SC,Florianópolis,4205407,city,74036,14550.3571,55,960,0,0.013,508826,False,False
202120,2021-05-16,431,SC,Florianópolis,4205407,city,73981,14539.5479,35,960,0,0.013,508826,False,False
202119,2021-05-15,430,SC,Florianópolis,4205407,city,73946,14532.66932,10,960,-1,0.013,508826,False,False
202119,2021-05-14,429,SC,Florianópolis,4205407,city,73936,14530.70401,18,961,1,0.013,508826,False,False
202119,2021-05-13,428,SC,Florianópolis,4205407,city,73918,14527.16646,66,960,-3,0.013,508826,False,False
202119,2021-05-12,427,SC,Florianópolis,4205407,city,73852,14514.19542,109,963,0,0.013,508826,False,False
202119,2021-05-11,426,SC,Florianópolis,4205407,city,73743,14492.77356,58,963,2,0.0131,508826,False,False
202119,2021-05-10,425,SC,Florianópolis,4205407,city,73685,14481.37477,96,961,0,0.013,508826,False,False
202119,2021-05-09,424,SC,Florianópolis,4205407,city,73589,14462.50781,29,961,0,0.0131,508826,False,False
202118,2021-05-08,423,SC,Florianópolis,4205407,city,73560,14456.80842,-3,961,1,0.0131,508826,False,False
202118,2021-05-07,422,SC,Florianópolis,4205407,city,73563,14457.39801,159,960,2,0.0131,508826,False,False
202118,2021-05-06,421,SC,Florianópolis,4205407,city,73404,14426.14961,134,958,4,0.0131,508826,False,False
202118,2021-05-05,420,SC,Florianópolis,4205407,city,73270,14399.81447,53,954,6,0.013,508826,False,False
202118,2021-05-04,419,SC,Florianópolis,4205407,city,73217,14389.39834,27,948,5,0.0129,508826,False,False
202118,2021-05-03,418,SC,Florianópolis,4205407,city,73190,14384.09201,104,943,2,0.0129,508826,False,False
